site_name,carcass_id,no_scavenge,partial_scavenge,mass_kg,kg_consumed,proportion_consumed,deployment_date_time,deployment_type_AM_PM,first_scavenger_date_time,full_scavenge_date_time,hours_to_first_scavenging_event,hours_to_full_scavenge,percent_developed_1km
Four Mile,91,FALSE,TRUE,0.11679,0.032,0.2739960613,2023-04-10T17:58:24Z,night,2023-04-10T20:40:26Z,NA,2.7005555555555554,NA,0.05675675675675675
Blacks,92,TRUE,FALSE,0.12518,0,0,2023-04-10T19:08:50Z,night,NA,NA,NA,NA,0.9261904761904762
Bonny Doon,93,FALSE,FALSE,0.09881,0.09881,1,2023-04-11T07:19:20Z,day,2023-04-11T11:20:22Z,2023-04-11T11:20:22Z,4.017222222222222,4.017222222222222,0.083596214511041
Panther,94,TRUE,FALSE,0.12644,0,0,2023-04-11T07:45:46Z,day,NA,NA,NA,NA,0.05571428571428572
Four Mile,95,TRUE,FALSE,0.13923,0,0,2023-04-11T08:15:26Z,day,NA,NA,NA,NA,0.05675675675675675
Natural Bridges,96,FALSE,TRUE,0.13751,0.02127,0.1546796597,2023-04-11T07:24:52Z,day,2023-04-11T09:44:00Z,2023-04-11T10:14:54Z,2.318888888888889,2.8338888888888887,0.7444134078212291
Twin Lakes,97,FALSE,FALSE,0.12682,0.12682,1,2023-04-11T07:56:18Z,day,2023-04-11T08:11:56Z,2023-04-11T08:15:30Z,0.26055555555555554,0.32,0.907163323782235
Blacks,98,FALSE,FALSE,0.11186,0.11186,1,2023-04-11T08:05:06Z,day,2023-04-11T13:18:48Z,2023-04-11T14:04:00Z,5.2283333333333335,5.9816666666666665,0.9261904761904762
Bonny Doon,99,FALSE,FALSE,0.11482,0.11482,1,2023-04-11T18:12:06Z,night,2023-04-11T20:28:02Z,2023-04-12T01:19:04Z,2.2655555555555558,7.1161111111111115,0.083596214511041
Four Mile,101,FALSE,FALSE,0.15378,0.15378,1,2023-04-11T18:49:56Z,night,2023-04-11T18:54:58Z,2023-04-12T04:07:12Z,0.08388888888888889,9.287777777777778,0.05675675675675675
Natural Bridges,102,FALSE,FALSE,0.13521,0.13521,1,2023-04-11T19:09:26Z,night,2023-04-12T03:26:02Z,2023-04-12T03:26:02Z,8.276666666666667,8.276666666666667,0.7444134078212291
Twin Lakes,103,FALSE,TRUE,0.14572,0.13589,0.9325418611,2023-04-11T19:30:26Z,night,2023-04-12T07:06:58Z,2023-04-12T07:25:28Z,11.608888888888888,11.917222222222222,0.907163323782235
Blacks,104,FALSE,FALSE,0.14231,0.14231,1,2023-04-11T19:39:32Z,night,2023-04-12T07:07:36Z,2023-04-12T07:19:08Z,11.467777777777778,11.66,0.9261904761904762
Twin Lakes,105,FALSE,FALSE,0.1494,0.1494,1,2023-04-12T07:45:52Z,day,2023-04-12T07:51:22Z,2023-04-12T08:37:08Z,0.09166666666666666,0.8544444444444445,0.907163323782235
Natural Bridges,107,FALSE,TRUE,0.12708,0.00208,0.01636764243,2023-04-12T08:19:30Z,day,2023-04-12T08:21:34Z,NA,0.034444444444444444,NA,0.7444134078212291
Bonny Doon,108,TRUE,FALSE,0.1386,0,0,2023-04-12T07:29:42Z,day,NA,NA,NA,NA,0.083596214511041
Three Mile,110,TRUE,FALSE,0.11331,0,0,2023-04-17T18:02:58Z,night,NA,NA,NA,NA,0.0704697986577181
Sand Plant,111,TRUE,FALSE,0.15468,0,0,2023-04-17T18:36:12Z,night,NA,NA,NA,NA,0.0955955955955956
Four Mile,112,TRUE,FALSE,0.14113,0,0,2023-04-12T08:05:52Z,day,NA,NA,NA,NA,0.05675675675675675
Strawberry,113,TRUE,FALSE,0.13697,0,0,2023-04-17T19:04:42Z,night,NA,NA,NA,NA,0.05666666666666665
New Brighton,114,TRUE,FALSE,0.11504,0.11504,1,2023-04-17T20:55:40Z,night,NA,NA,NA,NA,0.7828096118299446
Seacliff,115,FALSE,FALSE,0.14971,0.14971,1,2023-04-17T20:27:24Z,night,2023-04-17T20:45:20Z,2023-04-17T21:25:48Z,0.29888888888888887,0.9733333333333334,0.965390665967488
Younger,116,FALSE,FALSE,0.11493,0.11493,1,2023-04-17T20:24:14Z,night,2023-04-17T22:59:44Z,2023-04-18T03:50:12Z,2.591666666666667,7.432777777777778,0.34704830053667257
Seacliff,117,FALSE,FALSE,0.09482,0.09482,1,2023-04-18T07:26:12Z,day,2023-04-18T07:30:18Z,2023-04-18T15:09:14Z,0.06833333333333333,7.717222222222222,0.965390665967488
New Brighton,118,TRUE,FALSE,0.12492,0,0,2023-04-18T07:53:02Z,day,NA,NA,NA,NA,0.7828096118299446
Younger,119,FALSE,FALSE,0.11088,0.11088,1,2023-04-18T08:38:38Z,day,2023-04-18T10:05:16Z,2023-04-18T10:05:16Z,1.443888888888889,1.443888888888889,0.34704830053667257
Three Mile,120,TRUE,FALSE,0.14053,0,0,2023-04-18T07:23:04Z,day,NA,NA,NA,NA,0.0704697986577181
Strawberry,122,TRUE,FALSE,0.13266,0,0,2023-04-18T08:12:40Z,day,NA,NA,NA,NA,0.05666666666666665
Three Mile,123,TRUE,FALSE,0.14822,0,0,2023-04-18T18:05:14Z,night,NA,NA,NA,NA,0.0704697986577181
Sand Plant,124,TRUE,FALSE,0.15518,0,0,2023-04-18T18:36:24Z,night,NA,NA,NA,NA,0.0955955955955956
Strawberry,125,TRUE,FALSE,0.10664,0,0,2023-04-18T19:04:50Z,night,NA,NA,NA,NA,0.05666666666666665
Younger,126,FALSE,FALSE,0.1069,0.1069,1,2023-04-18T18:21:08Z,night,2023-04-18T21:44:02Z,2023-04-19T04:55:40Z,3.381666666666667,10.575555555555555,0.34704830053667257
New Brighton,128,FALSE,FALSE,0.10808,0.10808,1,2023-04-18T19:14:44Z,night,2023-04-18T20:24:32Z,2023-04-18T20:24:32Z,1.1633333333333333,1.1633333333333333,0.7828096118299446
Younger,129,FALSE,FALSE,0.14782,0.14782,1,2023-04-19T07:06:44Z,day,2023-04-19T07:16:22Z,2023-04-19T07:16:22Z,0.16055555555555556,0.16055555555555556,0.34704830053667257
Seacliff,130,FALSE,FALSE,0.13061,0.13061,1,2023-04-19T07:37:56Z,day,2023-04-19T08:59:56Z,2023-04-19T13:47:34Z,1.3666666666666667,6.160555555555556,0.965390665967488
New Brighton,131,TRUE,FALSE,0.1164,0,0,2023-04-19T07:57:28Z,day,NA,NA,NA,NA,0.7828096118299446
Three Mile,132,TRUE,FALSE,0.14391,0,0,2023-04-19T07:24:48Z,day,NA,NA,NA,NA,0.0704697986577181
Sand Plant,133,TRUE,FALSE,0.11523,0,0,2023-04-19T07:53:52Z,day,NA,NA,NA,NA,0.0955955955955956
Strawberry,134,TRUE,FALSE,0.13622,0,0,2023-04-19T08:15:06Z,day,NA,NA,NA,NA,0.05666666666666665
Seacliff,135,FALSE,FALSE,0.12355,0.12355,1,2023-04-24T19:01:14Z,night,2023-04-24T21:43:48Z,2023-04-24T21:43:48Z,2.7094444444444443,2.7094444444444443,0.965390665967488
New Brighton,136,FALSE,FALSE,0.13258,0.13258,1,2023-04-24T19:28:38Z,night,2023-04-25T01:24:14Z,2023-04-25T01:24:14Z,5.926666666666667,5.926666666666667,0.7828096118299446
Younger,137,FALSE,FALSE,0.12096,0.12096,1,2023-04-24T18:09:10Z,night,2023-04-25T06:41:20Z,2023-04-25T06:41:20Z,12.536111111111111,12.536111111111111,0.34704830053667257
Sand Plant,138,FALSE,TRUE,0.1567,0,0,2023-04-24T19:07:03Z,night,2023-04-25T00:36:09Z,NA,5.485,NA,0.0955955955955956
Strawberry,139,TRUE,FALSE,0.12835,0,0,2023-04-24T19:56:44Z,night,NA,NA,NA,NA,0.05666666666666665
Three Mile,140,TRUE,FALSE,0.15526,0,0,2023-04-24T18:19:23Z,night,NA,NA,NA,NA,0.0704697986577181
Three Mile,141,FALSE,FALSE,0.15647,0.15647,1,2023-04-25T07:28:35Z,day,2023-04-25T07:38:45Z,2023-04-25T07:38:45Z,0.16944444444444445,0.16944444444444445,0.0704697986577181
Sand Plant,142,TRUE,FALSE,0.21944,0,0,2023-04-25T08:04:51Z,day,NA,NA,NA,NA,0.0955955955955956
